year,make,mileage,condition,engine_size,transmission,fuel_type,price
2012,toyota,142000,fair,1.8,automatic,petrol,6500
2014,ford,128000,fair,2.0,manual,petrol,7800
2015,honda,118000,good,1.8,automatic,petrol,9800
2013,volkswagen,135000,fair,2.0,manual,diesel,8500
2016,nissan,105000,good,1.6,automatic,petrol,11200
2017,hyundai,92000,good,2.0,automatic,petrol,13500
2018,kia,78000,good,1.6,automatic,petrol,14800
2016,toyota,87000,good,1.8,automatic,hybrid,15900
2019,ford,65000,good,2.0,automatic,petrol,17200
2018,honda,71000,excellent,1.5,automatic,petrol,18500
2019,mazda,54000,excellent,2.0,manual,petrol,19800
2020,hyundai,48000,excellent,1.6,automatic,hybrid,21900
2020,toyota,42000,excellent,2.0,automatic,hybrid,24500
2021,kia,35000,excellent,1.6,automatic,petrol,25500
2021,tesla,28000,excellent,0.0,automatic,electric,32000
2022,toyota,22000,excellent,2.5,automatic,hybrid,33500
2022,honda,18000,excellent,2.0,automatic,hybrid,34800
2023,ford,12000,excellent,2.3,automatic,petrol,36500
2023,volkswagen,9000,excellent,2.0,automatic,electric,38900
2024,tesla,5000,excellent,0.0,automatic,electric,45500
